City,Date,CO,NH3,NO2,AQI,AQI_Bucket
Aizawl,2020-03-12,0.56,25.63,1.27,52.0,Satisfactory
Aizawl,2020-03-13,0.57,29.16,0.91,60.0,Satisfactory
Aizawl,2020-03-14,0.57,28.95,1.07,62.0,Satisfactory
Aizawl,2020-03-15,0.48,28.41,0.36,70.0,Satisfactory
Aizawl,2020-03-16,0.5,23.98,2.32,54.0,Satisfactory
Aizawl,2020-03-17,0.48,24.57,2.14,40.0,Good
Aizawl,2020-03-18,0.47,23.42,1.48,51.0,Satisfactory
Aizawl,2020-03-19,0.48,23.41,1.31,63.0,Satisfactory
Aizawl,2020-03-20,0.49,24.85,0.83,69.0,Satisfactory
Aizawl,2020-03-21,0.49,24.44,0.88,70.0,Satisfactory
Aizawl,2020-03-22,0.37,18.55,0.13,71.0,Satisfactory
Aizawl,2020-03-23,0.32,20.24,0.16,53.0,Satisfactory
Aizawl,2020-03-24,0.37,20.21,0.14,66.0,Satisfactory
Aizawl,2020-03-25,0.44,25.43,0.17,92.0,Satisfactory
Aizawl,2020-03-26,0.42,25.48,0.13,89.0,Satisfactory
Aizawl,2020-03-27,0.4,28.26,0.11,82.0,Satisfactory
Aizawl,2020-03-28,0.44,29.89,0.35,71.0,Satisfactory
Aizawl,2020-03-29,0.36,28.47,0.13,81.0,Satisfactory
Aizawl,2020-03-30,0.42,29.05,0.24,60.0,Satisfactory
Aizawl,2020-03-31,0.4,30.99,0.25,51.0,Satisfactory
Aizawl,2020-04-01,0.45,32.95,0.26,62.0,Satisfactory
Aizawl,2020-04-02,0.4,32.94,0.25,64.0,Satisfactory
Aizawl,2020-04-03,0.29,23.37,0.21,54.0,Satisfactory
Aizawl,2020-04-04,0.26,21.6,0.25,43.0,Good
Aizawl,2020-04-05,0.31,26.0,0.08,44.0,Good
Aizawl,2020-04-06,0.31,25.1,0.15,48.0,Good
Aizawl,2020-04-07,0.3,22.71,0.3,61.0,Satisfactory
Aizawl,2020-04-08,0.27,23.73,0.18,45.0,Good
Aizawl,2020-04-09,0.39,22.95,0.31,59.0,Satisfactory
Aizawl,2020-04-10,0.41,27.97,0.13,64.0,Satisfactory
Aizawl,2020-04-11,0.37,30.0,0.17,55.0,Satisfactory
Aizawl,2020-04-12,0.27,26.24,0.12,41.0,Good
Aizawl,2020-04-13,0.36,28.53,0.39,42.0,Good
Aizawl,2020-04-14,0.47,31.28,0.45,64.0,Satisfactory
Aizawl,2020-04-15,0.42,30.38,0.51,76.0,Satisfactory
Aizawl,2020-04-16,0.28,23.59,0.33,49.0,Good
Aizawl,2020-04-17,0.22,14.87,0.36,33.0,Good
Aizawl,2020-04-18,0.25,17.65,0.25,31.0,Good
Aizawl,2020-04-19,0.22,19.03,0.11,24.0,Good
